1A53:0000 s_pshot1
1B0E:0000 s_bat4
1B0F:0000 s_batpast
1B10:0000 s_batdie1
1B11:0000 s_batdie2
1B12:0000 s_godesspause
1B13:0000 s_godess_statue1
1B14:0000 s_godess_statue2
1B15:0000 s_godess1
1B16:0000 s_godess2
1B17:0000 s_godess3
1B18:0000 s_godessattack1
1B19:0000 s_godessattack2
1B1A:0000 s_godessattack3
1B1B:0000 s_godessouch
1B1C:0000 s_godessdie1
1B1D:0000 s_godessdie2
1B1E:0000 s_ant_wait
1B1F:0000 s_ant_egg
1B20:0000 s_ant_walk1
1B21:0000 s_ant_walk2
1B22:0000 s_ant_walk3
1B23:0000 s_ant_attack1
1B24:0000 s_ant_pause
1B25:0000 s_ant_ouch
1B26:0000 s_ant_die1
1B27:0000 s_ant_die2
1B28:0000 s_ant_die3
1B29:0000 s_zombie_risen
1B2A:0000 s_zombie_pause
1B2B:0000 s_zombie_inground
1B2C:0000 s_zombie_rise1
1B2D:0000 s_zombie_rise2
1B2E:0000 s_zombie_rise3
1B2F:0000 s_zombie_rise4
1B30:0000 s_zombie_alive1
1B31:0000 s_zombie_alive2
1B32:0000 s_zombie_alive3
1B33:0000 s_zombie_death1
1B34:0000 s_zombie_death2
1B35:0000 s_zombie_death3
1B36:0000 s_zombie_attack
1B37:0000 s_zombie_ouch
1B38:0000 s_tree_pause
1B39:0000 s_tree_idle
1B3A:0000 s_tree_awakening1
1B3B:0000 s_tree_awakening2
1B3C:0000 s_tree_walk1
1B3D:0000 s_tree_walk2
1B3E:0000 s_tree_death1
1B3F:0000 s_tree_death2
1B40:0000 s_tree_death3
1B41:0000 s_tree_death4
1B42:0000 s_tree_death5
1B43:0000 s_tree_attack1
1B44:0000 s_tree_attack2
1B45:0000 s_tree_attack3
1B46:0000 s_tree_ouch
1B47:0000 s_arch_1
1B48:0000 s_arch_2
1B49:0000 s_arch_3
1B4A:0000 s_arch_4
1B4B:0000 s_arch_5
1B4C:0000 s_arch_6
1B4D:0000 s_arch_7
1B4E:0000 s_arch_8
1B4F:0000 s_arch_9
1B50:0000 s_arch_10
1B51:0000 s_arch_11
1B52:0000 s_arch_12
1B53:0000 s_arch_13
1B54:0000 s_column
1B55:0000 s_sulphur_gas_1
1B56:0000 s_sulphur_gas_2
1B57:0000 s_sulphur_gas_3
1B58:0000 s_fire_pot_1
1B59:0000 s_fire_pot_2
1B5A:0000 s_fountain
1B5B:0000 s_force_field_1
1B5C:0000 s_force_field_2
1B5D:0000 s_force_field_3
1B5E:0000 s_force_field_4
1B5F:0000 s_force_field_die
1B60:0000 s_force_field_die1
1B61:0000 s_skeleton_hanging
